,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Longyearbyen,20,NO,1570697609,73,78.22,15.63,26.6,24.16
1,Ariquemes,78,BR,1570697611,98,-9.91,-63.03,71.64,1.3
2,Gorgan,75,IR,1570697612,65,36.84,54.43,78.8,6.93
3,Ushuaia,90,AR,1570697614,86,-54.81,-68.31,33.8,24.16
4,Vila,62,IT,1570697615,100,45.18,8.4,59.0,5.82
5,Jamestown,24,AU,1570697616,31,-33.21,138.6,55.4,4.97
6,Caravelas,0,BR,1570697618,88,-17.73,-39.27,71.02,2.69
7,Qaanaaq,98,GL,1570697619,81,77.48,-69.36,22.78,13.14
8,Guerrero,0,AR,1570697620,59,-24.19,-65.45,66.2,10.29
9,Poso,84,ID,1570697622,78,-1.4,120.75,72.54,2.98
10,Salacgriva,100,LV,1570697623,97,57.75,24.36,48.0,1.01
11,Hobart,75,AU,1570697624,81,-42.88,147.33,52.0,5.82
12,Sambava,29,MG,1570697626,49,-14.27,50.17,84.2,6.9
13,Faanui,100,PF,1570697627,79,-16.48,-151.75,76.05,18.65
14,Sao,30,IN,1570697628,61,20.51,76.21,83.82,6.08
15,Kapaa,1,US,1570697630,78,22.08,-159.32,80.6,9.17
16,Berlevag,75,NO,1570697631,86,70.86,29.09,41.0,11.41
17,Flinders,40,AU,1570697632,67,-34.58,150.85,61.0,5.82
18,Hambantota,75,LK,1570697634,83,6.12,81.12,84.2,8.05
19,Moussoro,85,TD,1570697635,46,13.64,16.49,87.03,6.75
20,Port,100,CD,1570697636,55,-7.04,29.76,78.4,3.96
21,Atuona,7,PF,1570697638,70,-9.8,-139.03,78.84,12.42
22,Longa,94,CD,1570697639,91,2.84,24.68,79.23,2.07
23,Butaritari,100,KI,1570697640,70,3.07,172.79,84.61,12.68
24,Vostok,27,RU,1570697642,77,46.45,135.83,48.9,6.53
25,Provideniya,0,RU,1570697643,80,64.42,-173.23,26.28,4.09
26,Georgetown,20,GY,1570697644,100,6.8,-58.16,75.2,2.24
27,Tuktoyaktuk,88,CA,1570697646,77,69.44,-133.03,34.75,7.21
28,Saskylakh,98,RU,1570697647,94,71.97,114.09,10.9,10.84
29,New,75,LR,1570697648,88,6.65,-10.59,80.6,2.42
30,Codrington,1,AU,1570697650,63,-28.95,153.24,62.6,6.93
31,Nanortalik,20,GL,1570697651,88,60.14,-45.24,38.03,6.39
32,Kavaratti,93,IN,1570697653,73,10.57,72.64,83.55,5.38
33,Mahebourg,20,MU,1570697654,51,-20.41,57.7,80.6,21.92
